,close,predictionPrice
2017-07-20,201.9553985595703,
2017-07-21,206.40447998046875,
2017-07-22,207.28546142578125,
2017-07-23,205.47824096679688,
2017-07-24,204.15997314453125,
2017-07-25,202.93299865722656,
2017-07-26,201.82220458984375,
2017-07-27,200.4821319580078,
2017-07-28,201.2322235107422,
2017-07-29,198.8352813720703,
2017-07-30,200.61224365234375,
2017-07-31,202.3303680419922,
2017-08-01,203.2241973876953,
2017-08-02,204.66607666015625,
2017-08-03,207.32730102539062,
2017-08-04,212.46714782714844,
2017-08-05,221.2493133544922,
2017-08-06,239.4051971435547,
2017-08-07,253.89279174804688,
2017-08-08,269.3199768066406,
2017-08-09,295.4891052246094,
2017-08-10,305.8139343261719,
2017-08-11,313.1544494628906,
2017-08-12,314.1182556152344,
2017-08-13,317.2093505859375,
2017-08-14,317.0656433105469,
2017-08-15,,444.48382568359375
