,close,predictionPrice
2017-07-13,56.26378631591797,
2017-07-14,11.751192092895508,
2017-07-15,10.834099769592285,
2017-07-16,9.995353698730469,
2017-07-17,9.745004653930664,
2017-07-18,9.701593399047852,
2017-07-19,9.703433990478516,
2017-07-20,9.682903289794922,
2017-07-21,9.65434455871582,
2017-07-22,9.640745162963867,
2017-07-23,9.638999938964844,
2017-07-24,9.646700859069824,
2017-07-25,9.648513793945312,
2017-07-26,9.65694808959961,
2017-07-27,9.652482032775879,
2017-07-28,9.65073299407959,
2017-07-29,9.648128509521484,
2017-07-30,9.669576644897461,
2017-07-31,9.676505088806152,
2017-08-01,9.672538757324219,
2017-08-02,9.665842056274414,
2017-08-03,9.673221588134766,
2017-08-04,9.672477722167969,
2017-08-05,9.670589447021484,
2017-08-06,9.670326232910156,
2017-08-07,9.678659439086914,
2017-08-08,,480.89501953125
