,close,predictionPrice
2017-07-11,1093.6424560546875,
2017-07-12,942.7230834960938,
2017-07-13,821.2855224609375,
2017-07-14,816.1592407226562,
2017-07-15,862.0691528320312,
2017-07-16,924.6068725585938,
2017-07-17,994.0159301757812,
2017-07-18,1105.8406982421875,
2017-07-19,1201.227294921875,
2017-07-20,1220.9384765625,
2017-07-21,1221.915771484375,
2017-07-22,1299.4208984375,
2017-07-23,1397.8109130859375,
2017-07-24,1375.8538818359375,
2017-07-25,1479.3045654296875,
2017-07-26,1546.4337158203125,
2017-07-27,1452.64794921875,
2017-07-28,1339.4410400390625,
2017-07-29,1245.654296875,
2017-07-30,1153.723388671875,
2017-07-31,1110.3626708984375,
2017-08-01,1104.529541015625,
2017-08-02,1113.5361328125,
2017-08-03,1150.413818359375,
2017-08-04,1236.095947265625,
2017-08-05,1375.66455078125,
2017-08-06,,2803.06591796875
