,close,predictionPrice
2017-07-13,204.7684783935547,
2017-07-14,204.21522521972656,
2017-07-15,204.17933654785156,
2017-07-16,203.57101440429688,
2017-07-17,203.095458984375,
2017-07-18,203.8722381591797,
2017-07-19,205.38502502441406,
2017-07-20,204.9308624267578,
2017-07-21,205.76678466796875,
2017-07-22,205.82620239257812,
2017-07-23,205.54998779296875,
2017-07-24,205.4829559326172,
2017-07-25,205.28121948242188,
2017-07-26,204.44374084472656,
2017-07-27,204.3391876220703,
2017-07-28,204.92225646972656,
2017-07-29,204.1683349609375,
2017-07-30,204.84646606445312,
2017-07-31,205.5222625732422,
2017-08-01,205.6920166015625,
2017-08-02,205.9088592529297,
2017-08-03,206.29849243164062,
2017-08-04,206.61984252929688,
2017-08-05,207.3882293701172,
2017-08-06,209.43141174316406,
2017-08-07,210.13754272460938,
2017-08-08,,369.40765380859375
