,close,predictionPrice
2017-07-12,2776.27685546875,
2017-07-13,2777.282958984375,
2017-07-14,2777.099365234375,
2017-07-15,2780.064697265625,
2017-07-16,2784.229736328125,
2017-07-17,2788.4248046875,
2017-07-18,2792.683837890625,
2017-07-19,2783.1875,
2017-07-20,2764.3056640625,
2017-07-21,2668.764892578125,
2017-07-22,2444.108642578125,
2017-07-23,2205.808837890625,
2017-07-24,2012.2637939453125,
2017-07-25,1853.874267578125,
2017-07-26,1803.5458984375,
2017-07-27,1783.091064453125,
2017-07-28,1771.2742919921875,
2017-07-29,1754.3050537109375,
2017-07-30,1715.6922607421875,
2017-07-31,1826.166259765625,
2017-08-01,2071.28955078125,
2017-08-02,2391.756591796875,
2017-08-03,2592.474365234375,
2017-08-04,2712.79296875,
2017-08-05,2822.07421875,
2017-08-06,2940.40673828125,
2017-08-07,,2495.349853515625
