,close,predictionPrice
2017-07-12,1125.505615234375,
2017-07-13,1111.7105712890625,
2017-07-14,1093.331787109375,
2017-07-15,1080.2547607421875,
2017-07-16,1034.8218994140625,
2017-07-17,1028.7738037109375,
2017-07-18,1070.314697265625,
2017-07-19,1127.8389892578125,
2017-07-20,1173.6165771484375,
2017-07-21,1305.6383056640625,
2017-07-22,1356.395751953125,
2017-07-23,1398.6593017578125,
2017-07-24,1388.8758544921875,
2017-07-25,1373.658447265625,
2017-07-26,1316.2811279296875,
2017-07-27,1255.5638427734375,
2017-07-28,1243.102783203125,
2017-07-29,1261.65185546875,
2017-07-30,1276.7227783203125,
2017-07-31,1304.5587158203125,
2017-08-01,1336.983642578125,
2017-08-02,1343.895751953125,
2017-08-03,1368.225830078125,
2017-08-04,1409.1806640625,
2017-08-05,1535.3388671875,
2017-08-06,1759.686279296875,
2017-08-07,,2559.37451171875
