#,id,date_time,open,close,low,high,volume,pair_id
1,10358575,2015-08-01 03:00:00.000000,285.049,285.049,285.049,285.049,0,83
2,10358576,2015-08-01 07:00:00.000000,285.049,285.049,285.049,285.049,0,83
3,10358577,2015-08-01 11:00:00.000000,284.00000001,284,284,284.00000001,58.05047188,83
4,10358578,2015-08-01 15:00:00.000000,283.99999999,284,283.99999999,284,16.10377411,83
5,10358579,2015-08-01 19:00:00.000000,284,284,284,284,0,83
6,10358580,2015-08-01 23:00:00.000000,279.79331405,279.84502254,275.7245078,283,227.22214642,83
7,10358581,2015-08-02 03:00:00.000000,279.84502254,279.84502254,279.84502254,279.84502254,0,83
8,10358582,2015-08-02 07:00:00.000000,279.84502254,279.84502254,279.84502254,279.84502254,0,83
9,10358583,2015-08-02 11:00:00.000000,280,280,280,280,0.5896184,83
10,10358584,2015-08-02 15:00:00.000000,280,280,280,280,0,83
11,10358585,2015-08-02 19:00:00.000000,280,280,280,280,0,83
12,10358586,2015-08-02 23:00:00.000000,283.19999999,284,283.19999999,284,20.87505385,83
13,10358587,2015-08-03 03:00:00.000000,284,286.438075,284,286.438075,85.09918684,83
14,10358588,2015-08-03 07:00:00.000000,285.4383,284.712575,284.712575,285.4383,28.50125706,83
15,10358589,2015-08-03 11:00:00.000000,284.712575,284.712575,284.712575,284.712575,0,83
16,10358590,2015-08-03 15:00:00.000000,284.712575,284.712575,284.712575,284.712575,0,83
17,10358591,2015-08-03 19:00:00.000000,284.28627499,288.69668394,284.28627499,288.69668394,17.205537,83
18,10358592,2015-08-03 23:00:00.000000,288.96564431,288.96564431,288.96564431,288.96564431,29.99999997,83
19,10358593,2015-08-04 03:00:00.000000,288.96564431,288.96564431,288.96564431,288.96564431,0,83
20,10358594,2015-08-04 07:00:00.000000,288.96564431,288.96564431,288.96564431,288.96564431,0,83
21,10358595,2015-08-04 11:00:00.000000,288.96564431,288.96564431,288.96564431,288.96564431,0,83
22,10358596,2015-08-04 15:00:00.000000,288.96564431,288.96564431,288.96564431,288.96564431,0,83
23,10358597,2015-08-04 19:00:00.000000,281.10448572,281.10448572,281.10448572,281.10448572,0.03600667,83
24,10358598,2015-08-04 23:00:00.000000,281.46375,281.46375,281.46375,281.46375,5.629275,83
25,10358599,2015-08-05 03:00:00.000000,288,288,288,288,6.28193664,83
26,10358600,2015-08-05 07:00:00.000000,288.19999998,288.965425,288.19999998,288.965425,9.23153816,83
27,10358601,2015-08-05 11:00:00.000000,288.965425,288.965425,288.965425,288.965425,0,83
28,10358602,2015-08-05 15:00:00.000000,288.965425,288.965425,288.965425,288.965425,0,83
29,10358603,2015-08-05 19:00:00.000000,288.965425,288.965425,288.965425,288.965425,0,83
30,10358604,2015-08-05 23:00:00.000000,279.79331405,287.5698,279.79331405,287.5698,0.06598897,83
31,10358605,2015-08-06 03:00:00.000000,287.5698,287.5698,287.5698,287.5698,0,83
32,10358606,2015-08-06 07:00:00.000000,279.79331405,279.79331405,279.79331405,279.79331405,7.78973964,83
33,10358607,2015-08-06 11:00:00.000000,278.21753271,275.77536576,275.637475,278.21753271,74.53002569,83
34,10358608,2015-08-06 15:00:00.000000,276.47058132,280.29999999,276.47058132,280.29999999,4.99026258,83
35,10358609,2015-08-06 19:00:00.000000,281.14869045,282.997225,276,282.997225,50.31793715,83
36,10358610,2015-08-06 23:00:00.000000,282.997225,282.997225,282.997225,282.997225,0,83
37,10358611,2015-08-07 03:00:00.000000,277.2385,283.738175,277.2385,283.738175,29.46176139,83
38,10358612,2015-08-07 07:00:00.000000,283.738175,283.738175,283.738175,283.738175,0,83
39,10358613,2015-08-07 11:00:00.000000,277.22849063,277.22849063,277.22849063,277.22849063,0.02772284,83
40,10358614,2015-08-07 15:00:00.000000,277.22849063,276,276,277.22849063,3.34475314,83
41,10358615,2015-08-07 19:00:00.000000,276,276,276,276,0,83
42,10358616,2015-08-07 23:00:00.000000,276,276,276,276,0,83
43,10358617,2015-08-08 03:00:00.000000,275.9225,275.9225,275.9225,275.9225,58.80989539,83
44,10358618,2015-08-08 07:00:00.000000,280.99991008,281,280.99991008,281,2.60411966,83
45,10358619,2015-08-08 11:00:00.000000,275.929,273.87911345,273.62623756,275.929,146.94824683,83
46,10358620,2015-08-08 15:00:00.000000,280.9984701,282.235975,280.9984701,282.235975,129.31714124,83
47,10358621,2015-08-08 19:00:00.000000,277.30328105,262.64762661,262.64762661,277.30328105,397.02021784,83
48,10358622,2015-08-08 23:00:00.000000,266.21932357,269.8395914,266.21932357,274.05913264,270.7996511,83
49,10358623,2015-08-09 03:00:00.000000,270,263,263,270,86.00534123,83
50,10358624,2015-08-09 07:00:00.000000,263,266.17812159,263,266.81934278,78.16705317,83
51,10358625,2015-08-09 11:00:00.000000,265.81301825,266.34616581,262.101,266.34616581,92.82247762,83
52,10358626,2015-08-09 15:00:00.000000,266.77503977,266.22737346,266.22737346,266.77503977,29.2090602,83
53,10358627,2015-08-09 19:00:00.000000,266.22737346,266.22737346,266.22737346,266.22737346,0,83
54,10358628,2015-08-09 23:00:00.000000,268.03399743,269.75811042,268.03399743,269.75811042,189.03903718,83
55,10358629,2015-08-10 03:00:00.000000,268.86343705,268.86343705,268.86343705,268.86343705,20.76999895,83
56,10358630,2015-08-10 07:00:00.000000,268.86343705,268.86343705,268.86343705,268.86343705,0,83
57,10358631,2015-08-10 11:00:00.000000,268.86343705,268.86343705,268.86343705,268.86343705,0,83
