,close
2017-07-09,272.2101135253906
2017-07-10,271.2347717285156
2017-07-11,269.7747802734375
2017-07-12,268.02349853515625
2017-07-13,266.61895751953125
2017-07-14,264.1717224121094
2017-07-15,261.16204833984375
2017-07-16,258.0263977050781
2017-07-17,254.67703247070312
2017-07-18,252.5
2017-07-19,251.73809814453125
2017-07-20,248.9845428466797
2017-07-21,248.6591033935547
2017-07-22,248.0870361328125
2017-07-23,250.53857421875
2017-07-24,255.0885009765625
2017-07-25,261.64990234375
2017-07-26,265.34088134765625
2017-07-27,269.1890869140625
2017-07-28,272.3251953125
2017-07-29,271.1097412109375
2017-07-30,271.57244873046875
2017-07-31,269.56903076171875
2017-08-01,268.24444580078125
2017-08-02,271.1645202636719
2017-08-03,270.73406982421875
2017-08-04,269.3791809082031
2017-08-05,267.38922119140625
2017-08-06,270.68328857421875
