,close
2017-07-09,2616.5830078125
2017-07-10,2602.0185546875
2017-07-11,2561.755859375
2017-07-12,2527.421142578125
2017-07-13,2527.216552734375
2017-07-14,2527.298828125
2017-07-15,2505.837158203125
2017-07-16,2449.124755859375
2017-07-17,2401.962646484375
2017-07-18,2430.54931640625
2017-07-19,2479.05322265625
2017-07-20,2499.155029296875
2017-07-21,2618.112060546875
2017-07-22,2681.890869140625
2017-07-23,2743.0009765625
2017-07-24,2760.22802734375
2017-07-25,2765.014892578125
2017-07-26,2717.14892578125
2017-07-27,2665.063720703125
2017-07-28,2657.971923828125
2017-07-29,2685.705078125
2017-07-30,2696.42919921875
2017-07-31,2709.66943359375
2017-08-01,2742.998291015625
2017-08-02,2746.667724609375
2017-08-03,2735.061767578125
2017-08-04,2740.456787109375
2017-08-05,2755.70849609375
2017-08-06,2839.29833984375
