,close,predictionPrice
2017-07-09,263.0278625488281,
2017-07-10,261.242919921875,
2017-07-11,258.6976013183594,
2017-07-12,255.54347229003906,
2017-07-13,252.5438995361328,
2017-07-14,249.65879821777344,
2017-07-15,246.1468505859375,
2017-07-16,242.48403930664062,
2017-07-17,238.05331420898438,
2017-07-18,234.7676239013672,
2017-07-19,233.832275390625,
2017-07-20,231.94729614257812,
2017-07-21,229.6295928955078,
2017-07-22,227.15106201171875,
2017-07-23,223.8173065185547,
2017-07-24,219.4276123046875,
2017-07-25,214.1309356689453,
2017-07-26,206.119384765625,
2017-07-27,197.6532745361328,
2017-07-28,195.49139404296875,
2017-07-29,201.80404663085938,
2017-07-30,215.1059112548828,
2017-07-31,229.8317108154297,
2017-08-01,236.90310668945312,
2017-08-02,239.6022186279297,
2017-08-03,238.3231658935547,
2017-08-04,233.7498016357422,
2017-08-05,228.11129760742188,
2017-08-06,,225.91224670410156
