,close,predictionPrice
2017-07-09,787.947265625,
2017-07-10,787.947265625,
2017-07-11,787.947265625,
2017-07-12,787.947265625,
2017-07-13,787.947265625,
2017-07-14,787.947265625,
2017-07-15,787.947265625,
2017-07-16,787.947265625,
2017-07-17,787.947265625,
2017-07-18,787.947265625,
2017-07-19,787.947265625,
2017-07-20,787.947265625,
2017-07-21,787.947265625,
2017-07-22,787.947265625,
2017-07-23,787.947265625,
2017-07-24,787.947265625,
2017-07-25,787.947265625,
2017-07-26,787.947265625,
2017-07-27,787.947265625,
2017-07-28,787.947265625,
2017-07-29,787.947265625,
2017-07-30,787.947265625,
2017-07-31,787.947265625,
2017-08-01,787.947265625,
2017-08-02,787.947265625,
2017-08-03,787.947265625,
2017-08-04,787.947265625,
2017-08-05,787.947265625,
2017-08-06,,787.947265625
