,close
2017-07-09,46.88355255126953
2017-07-10,45.38175582885742
2017-07-11,42.88755798339844
2017-07-12,42.79409408569336
2017-07-13,44.41140365600586
2017-07-14,42.9770622253418
2017-07-15,41.56706619262695
2017-07-16,40.39543533325195
2017-07-17,41.328857421875
2017-07-18,41.560211181640625
2017-07-19,41.77799606323242
2017-07-20,40.67189407348633
2017-07-21,42.80437088012695
2017-07-22,43.585853576660156
2017-07-23,43.85409927368164
2017-07-24,43.34556198120117
2017-07-25,43.68452453613281
2017-07-26,42.25127410888672
2017-07-27,41.73529052734375
2017-07-28,41.570674896240234
2017-07-29,40.409332275390625
2017-07-30,40.44742965698242
2017-07-31,40.28588104248047
2017-08-01,40.9774055480957
2017-08-02,41.604427337646484
2017-08-03,41.186561584472656
2017-08-04,41.484127044677734
2017-08-05,42.06739807128906
2017-08-06,43.359161376953125
